Job Title,Company,Location,Posted Time,Salary,URL,Job Description
Ing??nieur ou ing??nieure princ. ,TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 2:41 AM
22 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2Ffr-CA%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FSenior-AI-ML-Engineer_R_1468417-1&urlhash=OVr9&isSdui=true,
"Directeur principal, Directeur, Analyses avanc??es ",TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 8:40 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2Ffr-CA%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FSenior-Manager--Advanced-Analytics_R_1430073-1&urlhash=g9g1&isSdui=true,
"Manager, Collections Analytics and Forecasting (Bilingual English/Spanish) ",Scotiabank,"Toronto, ON (On-site)","Posted on January 23, 2026, 9:02 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjobs%2Escotiabank%2Ecom%2Fjob%2FToronto-Manager%252C-Collections-Analytics-and-Forecasting-%2528Bilingual-EnglishSpanish%2529-ON-M5H1B6%2F599216517%2F%3FfeedId%3D354060%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DScotiaBank_Linkedin&urlhash=jo1Z&isSdui=true,
Python AI Developer ,Insight Global,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 2:46 PM
10 hours ago",,https://www.linkedin.com/jobs/view/4321055936/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=sqq16h%2BASlafYYeEPSbagA%3D%3D&eBP=CwEAAAGb7rBaYKyn-3UJaLfFHGxYbeX9t9_S7SXi9umZpZ5siOo63WNe4qx1TWPlyrzjBHaAOQma0oqdzMwXZYDSOrzpKCDrnekVDTCX6KL7exFPaBzVO4Tv6u3yRgoghly42OmjfHLZX2LD8jzwRQ4hl3FC4qii6QN6Ch82moLnaYc5PUR4jqBW3TNDQTI8gJZn4Swo99KAdgTZI5_W7xPqlkxwRhgwyxC_h1Dx8wdj71h5P0DsQscACq06bNYvGTiosgho7FujPeP3E3s-99vY-QE9lYWHC904zUSDf44k97zdR3LbCmd-XhhwwR7XdCneaKtD-soVkbXKKlBVm_YLJEn3HnsCyzXCNXKNHBCRqQE7NND7MAFeQwQLsk9vgDPuWQcrGD39tQaHaC20jfw6cHJj1FyLXi3x8irTFzW7PQzPktArd6Okwu8gpZ_1uklGDWsec--hjupoJ9MfcADdV5PJeX_epxFEpJig_JbjPj9olF0JormqYjF-H8F4-eUDUwg4IrA_YAauulR9FC-kQg32WMLishCkS94KiA,
Data Scientist,TekStaff IT Solutions,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:44 AM
13 hours ago",,https://www.linkedin.com/jobs/view/4365532133/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=wyA0s%2FDwaqt9uX6kJ05GdQ%3D%3D&eBP=CwEAAAGb7rBaYOyqEeAPv42aBg623ogP-s7fxsGBuV922lYTvNA19Twae8oaNtPaOWWYO-gcCXlDTh-j0Erw0g2VxQUTO_gVH_Q24KbSJ5mmzLvrvoZHwCNF31hOnWxSOoj9JkowafLE3xiJ3YP6XfpbbJVZPU4b51vc3gFOW-THIk-XCZ5NQ_Key918sfKnp2Vr86_l66KcgkxFK1KgpleReAAZpNLQTRR-KY58ku_Vac5V5NrW6nOxAnY66rMpfJ4T3iyQx4-fpNQ8Gx1jqleeVb2dumJKtyXUQFzGO8hFoomb4f-k8t6XKf6IEwHGVM0zWo7jZpvzVXZEvf3A2BeCOUbuGGfmoW-dgQNDaNPBOs5j9CNaF-3loPKcbEPhBiFtrX-mCppYHeqwfDIJReiJhIWRrgf205RHQctbIhnmjRVH-ZIq7fPM3cuBA9v1EZK6thqK_rRTGI8YhDEZ6Cujg9sRTU8PmYQG7zGVFQB9m7FJzI-UsntD6IKHZPIz05RQn8HRGL7TkyWeaQrN_iCKdB1MAEgdluZb9DLXmg,
Senior Data & Fraud Operations Analyst,Chexy,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 10:27 AM
15 hours ago",,https://www.linkedin.com/jobs/view/4365521399/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=Eg56ZkgS7DA3AE23xmTSSA%3D%3D&eBP=CwEAAAGb7rBaYKzmVMsKJ83bAPSKCWdZ4I-sZ-YIXrZwoQSoehGrjErpPL3H5hVxUX1ZVa2s0rCF0HcTy9c9cJwRpsxximU-UKic1IUJ8PdgASB_eYyIjqMMnM1eNXVAYXXKU-OCrZ2Y9_qlSS623BBOG-LRafh7x-22LikTgjYFRezcStBQBpipcr5AMo7r-auCiXWrBgIxdb1EkiOmm91756zT9W5ZshPBhU8Uz-WNViCQnQwifdYRE88TyiAxaxxrR70VwXdCtkLRWfxYghfQ_dnz5On5dTRdQRL9U4F1ogYhG0uodoocR_6qQfRAyDkGZcQGJ6ULa_g--efhmf83uNJovi3efRkS7lKPya-dcxGui_RvkZyYh3p-vrG6X6CWW5uSSCg1oYcMBLAclhObIXW-9weP2TDSFpnGsoxF7neGN5c_NGXsYLXpVVCTaJaRkEJZHm1clvqciazV7nSwzWU67u3u_rX7MfBSbhiimiCrw7NlG4_JUzPXa8ImkegHospr-z55fGA3AHQv-PReaah8gM2HDejLH7INcEMtoNsbBOpF3FffARoehmo,
Perception Engineer,Trajekt Sports,"Toronto, ON (On-site)","Posted on January 23, 2026, 10:03 AM
15 hours ago",,https://www.linkedin.com/jobs/view/4365210081/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=ebjMwuIEABFYYN5IOQmkTQ%3D%3D&eBP=CwEAAAGb7rBaYMiI6Sejjw32mVI78CBaWS6J2CXP2VbEsNYu4hJVWfwAGjPP4xxEs8_qiudewgwleHVk6tUWoq2UJ0RT_LT93senwN2EKPknmTmRjiGVhPjE1dSDvCQ-kM3DsP227FlRiu_iVSEwtkdm9YD5a-W_AyjLre8BULoJABI1_TyZzUdkXJi4z0tMn0RjQbLt0YOj2NyIrLJuPx8LXO03gofQwFIKaI21Tfwg8fblNm28kOJ5V6OfJLJ8KROovF__mXha7UEsVT4CeFrhzj-dcx546_IoJKfolcO0ZwQ7XR6BmZp_sSAbpgFK79jcm9Tb0D6KxLqxhoTEWXk15qJ9fCbkMbdenooBZ5R6Y95Y_H41xHWN18npZ4NWtriNSM7KJUO93lrpPPZMcNqgn2d1uITZ3kv1Gi1kZugVGlim01GSG8h35Y8G76yCGMltce-kG8Ny51cRBtC0EqLNGuLjIUBAX1cJpdcKowEJteB-1MER1qwi3Yhff69TioIRtraVOpOfnm5ABJhHIsmmH-_YgqVPq9o62CA_xInqfYK3R1Oop79CHohIR3o,
Data Engineer - ML,Galent,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 3:17 PM
10 hours ago",,https://www.linkedin.com/jobs/view/4355530628/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=oi0gbvapioURBaJiyeQfEg%3D%3D&eBP=CwEAAAGb7rBaYFlvq9XoEfTpzUcWrjlsMm_YlETiiPLBqt6nMg0ORRYF2atXoGubFcxwvcTts0dL2MK4Kcr_QhNZ4w6q1WtUBrT3vDKtXamUu8GDWmHZ_jAlS5OD6gS2XztQj2qESa5KqE93DkC1YG4Jwn9wJMJUE9QFtFIJSEtQO8IfYC01l9npJwwyLvzGGC8DFukhm6KW8U_vWP_2YEzzZzF1t_MV0nn-sLeQnAfsRru46XmhXUkwoqndoOQjnqfYQ42tSQ6VMiKDYgFsOLQAvq22P9ar7ef9uRh28f7IZKsA_579tDPlO1JfvK115IQ5fyhPRRILSnm_pvBXXyOojfBQOob-wgwZI4LawFVhWR_Xs1cSaaZIL_ov13e_Yr9RogZ7dYCcIyDrIhgRY91uKg7pkt_O3ok24FgRIcLB4k11lNOJ3l_MwO_YNQQX8hnUBsLR68f9sZPenaO4olMAnjaFrorWVdjiF0hVP1y4gzHigNE9LQcUxC3Ey2sb4GDiII_zx32r5ZDYFvhkqRg4Xp2Ntr4GP-mjXEImGgo4,
Associate Data Scientist - GenAI ,Manulife,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:03 PM
2 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fcareers%2Emanulife%2Ecom%2Fglobal%2Fen%2Fjob%2FMFZMFIUSJR25120038EXTERNALENGLOBAL%2FAssociate-Data-Scientist-GenAI%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlhash=nJ78&isSdui=true,
Data Scientist ,Agilus Work Solutions,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 2:43 PM
10 hours ago",,https://www.linkedin.com/jobs/view/4321381815/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=xwfAjI4H7bUe%2BH7iuEd%2BUw%3D%3D&eBP=CwEAAAGb7rBaYWJS9EZB-VrIk5sgCUQPCWvBtN73nV369TetDO0YLrkmmzd0jkavgg4S_owYiL-Zd6dl8ssA4bVsWFf-NzZyNjaIq4eJly-j02KHdJG_umeV_BN2uckiZ54rBYQKw7561p-Qn_p_9uC_wYsgsxQlLEpgrq1OS_ZCjCC6u2k7syLgmyk_crvZ0wblteF16RLARE9-sRIRZ81RvXWZmLHezixXshPxkCVVbPh9VR47fIrPAaAxPq5CZcNeRQFESe5B4JQYppUXqbchdDuaG2tUgOE3wy73rVbwrgPYwPP-ASKS6p9dW2t5huc-c-Ik-zoLIXbZ1BO9QzaF7wRHzKcKOFVW5rQ2A4w0z7Dv0Wc5f2EthLwpINm-ksNetgbMQObCwpG8YNoE3gjApeLD1VqFjzHXWfqhBdxBtKkfzv5g5XR7twBpY-byH4sgch_9_EqelCiwKKKezBL4MHQPpIPEvd2zaGlkr4GUmn17k-fMhuT_IEpllt4EqF39q83h1IMKf1xHloJktK-RC3jbNsvKgc1qxUBjx2Pd,
Machine Learning Architect (AWS) - Canada ,RACKSPACE,"Toronto, ON (Remote)","Posted on January 23, 2026, 11:14 PM
2 hours ago",,https://www.linkedin.com/jobs/view/4321384181/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=qZzSfkdyAFPRXEvPvNVc5Q%3D%3D&eBP=CwEAAAGb7rBaYQ-ucedtSkAHpzBk_EUe8x9EFJ1Cl_ZA7y1ymDBLrAYP4iSth7wVtL9nYH4Yoy41jT_zhj9DC_kZXiEL6HFw8ByZtd60vnsaHv5akwGq6m_N6DB7a2jZgI--jWk4f57LiOYUzxJvb5RFcKZJVauBIUcxGP41BVufgb42dbEiGbU1dwC7PjrU26UCHkA9zcDr3_e5PZVf2RDPewddf70Kb0PM24wHAYY7yxg3dHKEej3OKwgR8UZ_lObunkFQjS0nuTeopnMhT3uMoLzKM1BD8D6hoqwqs2HR4Q0eJ3HC7hJOXL2MnuEcaxSRSGxGQdQIz0nFFrAYbdT_sxRyq_bhHQ1SkgH0X7XIHdM-u80DygIkONRvHK4xSbFKyR_4Bnj5ie4e7B-TSnTsJ0ihp9eUFbKPhLxuNnVvtH6NNk7x7XaRDcFDuk7D5ReqLFApaXxDgnNn5HMWHsp1WelYi29e5VHeZfFgLfBckkwfd7TlRmQTP5VNkgye4syPCC8-kbiu8rbD6TbFFp4cu4oGcr8ZKu-0LQWEAylf,
" Data Analyst - Python, AI, RAG, LLM",FP Inc.,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 4:22 PM
9 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwelovealfa%2Ecom%2Fjob%2Fa9a0f8e1-5f9f-4eb8-9da1-afc9689920da&urlhash=Mp9o&isSdui=true,
Data Scientist ,"LanceSoft, Inc.","Toronto, ON (Hybrid)","Posted on January 23, 2026, 12:22 PM
13 hours ago",,https://www.linkedin.com/jobs/view/4363414565/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=jeqFlF%2BzBnPhLJT9ShkOAw%3D%3D&eBP=CwEAAAGb7rBaYXu22LoGFVzVSRGjDR5O8XGK0l5noy02YE9o5K1MITfDWlWH1DiO4otaRiXIaxYnmaTx-x8zlyj_58wwwlkrAew_lQX4sC9n3XPdqStx8FJ-ON7lUoWpKOv5AbVAzWm6dj5O5ay9O36Z7iRljjRv7gxVZj40BPskNIOEWNDsM6c6mYaje8Ctbu_Kvih_JyiddON7HBKxFuqO80mSQ6sQGGBjmrmSn_kdtYFRyjBPBdCr_obWDMqAocNn0DVHGt5DZ6zOnMSMH73Lli53TXYZQPaZ-Ma-SdHlHXIvl-YoQ9e9Yo0bfclhz5FVH61iRdHJl9B1e9X67YL9tGXr86OQcHFT866sbZjgRA_cnb1hPgsXyJja5WAwPGh1NlJMrfqoeBb1MVfmLj-EIVSS4bMSUF8lwhZRlSDGqTTNeL_z75TolpRZ4RNEYfaDrYIUbE7AD5ITJUTfBae6BqWaanXSSGLq7JbsbEnQ8BPlPCPWdWu6uKdaw_vnTXOZoU_7DQ6HBvPJknd0Btkx70ZrYSxoSuqRLLncYT10oIw,
"Staff Machine Learning Engineer, Generative AI (Auth0) ","Okta, Inc.","Toronto, ON (Remote)","Posted on January 23, 2026, 7:16 AM
18 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Eokta%2Ecom%2Fcompany%2Fcareers%2Fopportunity%2F6988479%3Fgh_jid%3D6988479%26gh_src%3D7j0um41&urlhash=4rSN&isSdui=true,
"Senior Data Scientist, Revenue Operations",Purpose Unlimited,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 2:52 PM
10 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjobs%2Edayforcehcm%2Ecom%2Fen-US%2Fpurposefin%2FPurposeUnlimited%2Fjobs%2F1509&urlhash=Hfwe&isSdui=true,
Senior ML Platform Engineer ,Kobo,"Toronto, ON (On-site)","Posted on January 23, 2026, 7:45 AM
17 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Frakuten%2Ewd1%2Emyworkdayjobs%2Ecom%2FKobo%2Fjob%2FToronto-Canada%2FSenior-Machine-Learning-Engineer_1030578%3Fsource%3DLinkedIn&urlhash=p764&isSdui=true,
Machine Learning Engineer Intern , MULTIVERSE COMPUTING SL.,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 4:53 AM
20 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fmultiversecomputing%2Eteamtailor%2Ecom%2Fjobs%2F6292402-machine-learning-engineer-intern%3Futm_source%3DLinkedIn&urlhash=hXvQ&isSdui=true,
Senior ML Performance Engineer,Lemurian Labs,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:22 PM
2 hours ago",,https://www.linkedin.com/jobs/view/4365637598/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=ZRuAkY6rv9atJVGX4Yc3Mw%3D%3D&eBP=CwEAAAGb7rBaYYXu_LGVA0IfLko4KLom_IzbcrbLUtsANV4Pbg3KmuzCMyOuVjtZ8BiQKG1hvzB0Rx72hIlcCmmquSPvbsMp6zD2Z7q44uoVM5vgv8S1tyi7eNDhSYL7pwvRXpDi_80bAR0JOu4fHEbR7O8P4j1HpBDl3c-Mm4QLo5-aF6xZIWtdCW52S1vY-vHJzBX5rl6hx7sj489eTBtXV8-n_V9JkxWyaegEX7Jcg5wAekDJptqy4twpKv6RQVOj3PDxjdYqqUpzUxEN7KwaZF3kTaFjn7EGKMpLUYRozuYCayhJzbK4ii3k7tO_pjlONxCnyo9kbDd1pmtAA71KTeWqhwXXuhzY2bKaUtepmHAXwTNK7lnNKphUrdqgU_xr6Pr1lXQlinc7_7MlYhsk89ry8fGHYxa6LL7UhylsWLj9nFd4p_KJdHHTZmV9uGHy3Qsmd5Oa-2WJ7KOY96sCjv7zfQ2-2jyvh8948_ds_YUj6FLlDsxrVQsi3ZxqbbNYJrqAtvgxmL5CuNwH-qpEbLtZcSH5U24rwldNbn91,
Senior Data Scientist - GenAI ,Manulife,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:03 PM
2 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fcareers%2Emanulife%2Ecom%2Fglobal%2Fen%2Fjob%2FMFZMFIUSJR25120039EXTERNALENGLOBAL%2FSenior-Data-Scientist-GenAI%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlhash=bhG1&isSdui=true,
Staff Machine Learning Engineer ,Tubi,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 6:01 AM
19 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjob-boards%2Egreenhouse%2Eio%2Ftubitv%2Fjobs%2F7409104&urlhash=51II&isSdui=true,
Senior Machine Learning Engineer ,Tubi,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 6:01 AM
19 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjob-boards%2Egreenhouse%2Eio%2Ftubitv%2Fjobs%2F7409142&urlhash=GNp8&isSdui=true,
"Member of Technical Staff, Modeling",Boson AI,"Toronto, ON (On-site)","Posted on January 23, 2026, 5:43 AM
19 hours ago",,https://www.linkedin.com/jobs/view/4266777240/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=pzQ4iftoVLGmC3pgz9BUNg%3D%3D&eBP=CwEAAAGb7rBaYZl30bQqKCwddi8bPhdwqoFAl8eXCsIMxQKRrCfl8l2gJAx72gKhQr6yaZkmoSZnyqNvKN10AXy7G0XuRYr8v1JUfaaKxBc3SU-Dl_l2LbNhWNDL424W-86J0QswyFYRN-wA_tS4B8ahsomgdJNpFXLncRhOyoXs6lpsBoTdIqt7CrkVvI1Idv1olZZLMUTRDEjjZoJtSDpCh9atO_YDfFf7eLviUWIwnpz1Lmw7SLpJ4bpeVDTsoLit0D8Zdj3nNgiOwyVIF894F2pPbRVLdW5Bh9Msp3va644TSYZtTjUOJLLw5A_LvWSbSdek0u76qPIdjI3j70rc9GdwIah0OEv62ig1Rb15d7T6yE2OvGnsC4uTikRPtb2IrlOc-3ul4qul_18rc9oUohJR1wE1RIIo795kiglimT5P3yMFUFYYn-alWDdue8-QPHDgeVIJfbrp31O1GBqyDdh-812qZ7z2FZjmRK8d1Wk1uZY_N6Vw-QS7ILJXm_rJl7hmll8xjTAJPpmHnXEi0rTjelpam7iMHN_NxCh0bz4,
Compiler Code Gen Engineer,Lemurian Labs,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 11:22 PM
2 hours ago",,https://www.linkedin.com/jobs/view/4365643475/apply/?openSDUIApplyFlow=true&refId=24OlGCky3tebvfG%2FK%2F%2BH3w%3D%3D&trackingId=HNZU%2BWfrjoWlIFA93kJ3Ig%3D%3D&eBP=CwEAAAGb7rBaYRGrQhftgUyh_LT8dI1icmSozpJ6rKTaKpZ4GqSwPRub1cN5HdgCs-tP4f-pcdFkQrMMNtAM5p__WvBE0oEzRFWVHcXK6h9TWDHccKW7uX3-I6FtdMZwAZY7KWc7uReNtGN-DTr6-GCVqxxhyVusDaI85FDNgXweIKWe_n1xJgCkm0yKKqXceNmYdrmROk5x-vmoCkKeY2u2gv-8NYn_DOh9akz7gUPbxCOZKG8FqqUlFXc9Xxo3I1BM-z5MWsibjb2Yxj8OM-FMKw_h8b9lRQeZGujFx43Pw7U_R09G4lRPmT_mbIOvRzbvBVVpXOyX2dyDo57x31nvuIlvcANHKn7LFSXndVutmuW_6woMPwjGYbOxTPajeRqUU6SqneB9H_zpth4VHfARi1-6DIjpcrlLCTww5n7lceZ7vXcXDHPd3am5RFs9tntD4QKjJ6fhJyk6k5URolH69TYyS8HDpwhu3wAG0ro91EQOLy4cOEK-I7IejSw1QWYaaFqSaRMDb6PzgyREOTcJj5YYlm3pqfY5mrhKXhUWHBw,
Deep Learning Researcher Intern - Model Optimization ,STMicroelectronics,"Toronto, ON (On-site)","Posted on January 23, 2026, 6:09 AM
19 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fstmicroelectronics%2Eeightfold%2Eai%2Fcareers%2Fjob%2F563637169997992%3Futm_source%3Dlinkedin%26domain%3Dstmicroelectronics%2Ecom&urlhash=juDM&isSdui=true,
ModiFace - Senior MLOps Engineer (Contract),L'Or??al,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 4:09 PM
9 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Floa%2Eavature%2Enet%2Fcareers%2FJobDetail%2F231465%3Fsrc%3DLinkedIn&urlhash=lXGH&isSdui=true,
"Dir., Analyses avanc??es (Analyses quant.) ",TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 8:40 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2Ffr-CA%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FManager--Advanced-Analytic---Trading-Surveillance_R_1451147&urlhash=tqLm&isSdui=true,
"Manager, Advanced Analytics ",TD,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 9:41 PM
3 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Ftd%2Ewd3%2Emyworkdayjobs%2Ecom%2FTD_Bank_Careers%2Fjob%2FToronto-Ontario%2FManager--Advanced-Analytics_R_1451145%3Fsource%3DLinkedIn&urlhash=dIWk&isSdui=true,
Machine Learning Intern Fall 2026 (Toronto) ,Pinterest,"Toronto, ON (Hybrid)","Posted on January 23, 2026, 8:42 PM
4 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Epinterestcareers%2Ecom%2Fjobs%2F7268778%2Fmachine-learning-intern-fall-2026-toronto%2F%3Fsource%3Dlinkedin_limited_listing%26utm_source%3Dlinkedin_limited_listing&urlhash=BIAY&isSdui=true,
"Senior Staff Machine Learning Engineer, (ML Underwriting) ",Affirm,"Toronto, ON (Remote)","Posted on January 23, 2026, 5:16 AM
20 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fjob-boards%2Egreenhouse%2Eio%2Faffirm%2Fjobs%2F7550524003%3Fgh_src%3D689c81d53us&urlhash=HDqU&isSdui=true,
AI/ML Engineer II- Intelligence Accelerator ,"Okta, Inc.","Toronto, ON (Hybrid)","Posted on January 23, 2026, 7:15 AM
18 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Eokta%2Ecom%2Fcompany%2Fcareers%2Fopportunity%2F7435092%3Fgh_jid%3D7435092%26gh_src%3D7j0um41&urlhash=ZDoD&isSdui=true,
"Senior Software Developer 2, Artificial Intelligence ",D2L,"Toronto, ON","Posted on January 23, 2026, 5:04 AM
20 hours ago",,https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ed2l%2Ecom%2Fcareers%2Fjobs%2F%3Fjob_id%3D6911941%26gh_jid%3D6911941%26gh_src%3DLinkedIn&urlhash=Z0id&isSdui=true,
